gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster,prediction_confidence
CA_15215,0.04614814814814815,0.10825396825396827,0.1640952380952381,0.05355555555555556,0.021576719576719576,0.015722222222222224,0.07291666666666667,0.41853703703703693,0.028126984126984132,0.03142857142857143,0.03963888888888889,7,0.41853703703703693
CA_15216,0.05042592592592594,0.1455952380952381,0.15781349206349207,0.06065608465608465,0.028677248677248676,0.01936507936507937,0.0978505291005291,0.3063544973544974,0.03892857142857143,0.03555555555555556,0.058777777777777776,7,0.3063544973544974
CA_15256,0.060798941798941804,0.11068650793650794,0.13614285714285715,0.047222222222222235,0.022715608465608467,0.012555555555555556,0.0858531746031746,0.3972473544973544,0.036265873015873015,0.055567460317460314,0.034944444444444445,7,0.3972473544973544
CA_15259,0.04694973544973544,0.1321190476190476,0.1516626984126984,0.06666666666666665,0.020743386243386244,0.015500000000000002,0.10917592592592591,0.30975529100529103,0.03514550264550264,0.060476190476190475,0.051805555555555556,7,0.30975529100529103
CA_15278,0.044449735449735454,0.15950793650793652,0.14634920634920634,0.05444444444444444,0.023743386243386243,0.02017460317460318,0.11827910052910054,0.29151322751322745,0.040145502645502644,0.056849206349206344,0.044543650793650795,7,0.29151322751322745
CA_15283,0.05996560846560846,0.09982539682539682,0.13742063492063492,0.05733333333333334,0.020683862433862436,0.011722222222222222,0.0739920634920635,0.41108862433862436,0.03523412698412698,0.055567460317460314,0.03716666666666667,7,0.41108862433862436
CA_15285,0.03877513227513227,0.2814960317460319,0.09424074074074072,0.10005952380952379,0.02563227513227513,0.04402380952380952,0.07078306878306878,0.18833862433862436,0.06288492063492064,0.02253968253968254,0.07122619047619048,1,0.2814960317460319
CA_15287,0.05717195767195766,0.08201719576719575,0.18502380952380956,0.037722222222222226,0.01873941798941799,0.011833333333333335,0.03086243386243386,0.44127910052910047,0.03869444444444444,0.05009259259259259,0.046563492063492064,7,0.44127910052910047
CA_15312,0.04938227513227514,0.08507539682539682,0.11767460317460314,0.05344444444444445,0.01939153439153439,0.009944444444444443,0.04054761904761905,0.5205436507936508,0.029567460317460312,0.04201190476190476,0.03241666666666666,7,0.5205436507936508
CA_16055,0.02438095238095238,0.06917460317460315,0.32983862433862426,0.030997354497354503,0.02357936507936508,0.021206349206349204,0.10539814814814817,0.25575529100529104,0.02632804232804233,0.04663888888888889,0.06670238095238096,2,0.32983862433862426
CA_16059,0.03703703703703704,0.11519047619047616,0.24951058201058193,0.04816666666666667,0.030494708994708995,0.019087301587301583,0.08151587301587301,0.2892711640211641,0.03161111111111112,0.05078174603174603,0.04733333333333334,7,0.2892711640211641
CA_16068,0.024373015873015876,0.057206349206349205,0.3201124338624338,0.04044179894179895,0.029412698412698415,0.025095238095238094,0.08602513227513227,0.28767592592592595,0.01790740740740741,0.04691666666666666,0.06483333333333333,2,0.3201124338624338
CA_16070,0.036769841269841265,0.12767893217893214,0.23173184223184218,0.05066402116402117,0.035190476190476196,0.03898412698412698,0.10486531986531987,0.17058465608465606,0.03306613756613756,0.06397619047619048,0.106488455988456,2,0.23173184223184218
CA_16096,0.055664021164021166,0.08298412698412698,0.14486904761904762,0.049,0.021894179894179897,0.02128571428571429,0.07284126984126983,0.448771164021164,0.02661111111111111,0.059190476190476175,0.016888888888888887,7,0.448771164021164
CA_16100,0.06514814814814815,0.20261111111111113,0.1411865079365079,0.08514814814814815,0.023312169312169312,0.04108730158730159,0.075005291005291,0.22840608465608464,0.0375,0.04015079365079365,0.06044444444444444,7,0.22840608465608464
CA_16101,0.023703703703703706,0.1260912698412698,0.15310714285714286,0.05844444444444444,0.03230687830687831,0.03700396825396825,0.13335714285714287,0.2803148148148148,0.05381746031746032,0.037111111111111116,0.06474206349206348,7,0.2803148148148148
CA_16105,0.041433862433862434,0.1202857142857143,0.19880555555555554,0.033277777777777774,0.03471957671957673,0.019785714285714285,0.11968650793650791,0.3048227513227515,0.04273015873015873,0.04621428571428571,0.038238095238095245,7,0.3048227513227515
CA_16121,0.026769841269841273,0.057305555555555554,0.39321693121693135,0.016632275132275134,0.027965608465608464,0.018055555555555557,0.10016269841269843,0.24601190476190476,0.029546296296296303,0.03872222222222222,0.04561111111111111,2,0.39321693121693135
CA_16127,0.029984126984126985,0.07619841269841268,0.3411721981721981,0.01918783068783069,0.02350925925925926,0.022559523809523807,0.16336483886483885,0.1851481481481481,0.06020899470899471,0.03138888888888889,0.04727777777777777,2,0.3411721981721981
CA_16134,0.03780952380952382,0.06585714285714284,0.2849206349206349,0.03439153439153439,0.0375952380952381,0.03116269841269841,0.16291269841269843,0.12661111111111106,0.07497619047619049,0.05645238095238094,0.08731084656084655,2,0.2849206349206349
CA_16135,0.028785714285714286,0.06500793650793651,0.29128174603174595,0.03211111111111111,0.04182142857142857,0.04050529100529101,0.13351455026455028,0.12167460317460316,0.07603174603174602,0.08458730158730159,0.08467857142857142,2,0.29128174603174595
CA_16136,0.0185952380952381,0.057,0.2880277777777777,0.03837301587301588,0.023624338624338628,0.02063492063492063,0.08851190476190475,0.34660317460317464,0.033851851851851855,0.029277777777777778,0.055499999999999994,7,0.34660317460317464
CA_16139,0.03343650793650794,0.08151984126984126,0.2958690476190476,0.021261904761904763,0.025511904761904763,0.030265873015873013,0.17072883597883595,0.16998941798941794,0.04976190476190476,0.03901587301587302,0.08263888888888889,2,0.2958690476190476
CA_16143,0.07348015873015873,0.09872222222222221,0.11258333333333333,0.06371957671957672,0.06915079365079362,0.07717063492063493,0.13273544973544973,0.07294973544973543,0.062146825396825395,0.09514285714285713,0.1421984126984127,10,0.1421984126984127
CA_16146,0.03520370370370371,0.18568518518518518,0.12772222222222218,0.09611507936507935,0.029669312169312175,0.02980952380952381,0.10565079365079365,0.23935846560846558,0.050468253968253975,0.05042857142857143,0.04988888888888889,7,0.23935846560846558
